종목코드,총자산,총자본회전율,부채비율,매출액증가율,자기자본회전율,당기순이익,최대주주변경,대표이사변경,전환사채,파산신청,거래정지,불성실공시법인,레이블
360,6130.333968,0.846341823,-32.59632139,-0.036029637,-2674.128824,-661.3362497,0,0,0,0,0,0,1
420,719.6827656,0.541508884,-5.124169292,-0.504883067,-223.3274313,-257.4658021,0,0,0,0,2,0,1
790,2062.599327,1.009479262,4.145668296,0.311749348,519.4445435,-994.835473,0,0,0,0,1,0,1
800,18007.307,0.978721586,2.499255305,0.751287197,342.4796703,131.5862308,0,0,2,0,1,0,1
895,2098.95824,0.583371297,1.620365892,0.022886645,152.8646249,49.45522589,0,0,1,0,0,0,1
1190,702.0437751,0.284653997,0.828869123,-0.367221519,52.05949061,-229.4989408,0,0,0,0,1,0,1
1600,584.4027587,0.612716717,-2.000787854,-0.68430069,-61.31994486,-651.4282062,10,0,2,0,5,2,1
1970,3180.598622,1.471262483,-2.130302465,-0.25320709,-166.2971611,-4094.147235,0,0,0,0,4,0,1
2540,296.2782727,0.256121379,7.486160035,12.31943283,217.3487014,-219.0150314,5,0,5,0,1,2,1
3990,159.4461569,0.270022463,-3.011957927,-0.493315481,-54.32738348,-237.2524572,3,0,7,0,2,0,1
4320,2309.792815,1.060003188,-3.947744346,-0.62505291,-312.4618405,-1546.705966,0,0,0,0,6,0,1
4740,304.3850635,1.065554562,2.569233391,-0.259317861,380.3212923,-143.3896881,3,0,5,0,0,0,1
4820,67.14342298,0.661834432,-2.671093129,-0.214979596,-110.5986972,-147.7449634,2,0,5,0,5,4,1
5350,1596.068482,0.596098546,-4.402981559,-0.483481766,-202.8512359,-510.8800556,4,0,0,0,3,4,1
6070,1541.553977,0.561125876,6.015756995,0.073503928,393.6722786,-238.2914117,0,0,2,0,1,0,1
6440,3880.620182,0.665753658,-2.465508607,-0.61734043,-97.56677156,-3607.415878,0,0,0,0,2,0,1
7050,289.3983299,0.411420416,10.45166438,-0.009703643,471.144852,-231.0174679,8,0,4,0,3,4,1
7150,589.6225333,0.812162579,7.391876458,0.502072569,681.5568031,-428.2933552,2,1,3,0,7,0,1
8020,5885.929329,1.231370018,0.820723384,-0.18450929,224.1984186,225.1101898,0,0,0,0,2,0,1
8080,866.3597706,0.671981285,1.735012921,-0.518710166,183.7877497,-175.5774876,0,0,1,0,1,0,1
8320,716.4447146,0.09489734,1.70113841,-0.094000341,25.63308491,-487.1612923,0,0,2,0,1,0,1
8340,567.9449873,1.443823754,-13.17767027,-0.007957852,-1758.24096,-159.0138606,0,1,0,0,4,2,1
8540,181.1183104,0.799548228,7.119764579,0.605465619,649.2143383,-136.7523585,8,0,1,2,5,4,1
9010,203.0719053,0.759506206,10.27464151,-0.456425034,856.3160191,-170.2910822,6,2,0,1,7,5,1
9690,484.4532886,1.003733301,8.509233831,-0.29840271,954.4734666,-252.1957878,0,0,2,0,1,0,1
9720,3307.252741,0.271068914,0.198904783,-0.304443984,32.49858175,-355.6363549,0,0,0,0,2,0,1
10670,515.852173,0.376650254,1.237237356,0.135313482,84.26560178,-31.83342932,4,0,0,1,6,2,1
11050,386.2955926,0.137938924,3.919238234,-0.624808412,67.85544274,-455.0087543,14,0,3,0,3,4,1
12090,7218.546981,0.575877733,3.000341548,0.277865959,230.3707624,-545.6674218,2,0,4,0,1,2,1
12400,180.2619814,0.298139701,1.438402835,-0.115746964,72.69846931,-77.46417161,0,0,1,0,3,2,1
12580,1244.922619,1.319922255,3.609625826,-0.17690416,608.4347713,-290.0330431,6,0,1,0,1,0,1
13200,4043.633491,0.706235613,89.02454154,-0.23447658,6357.853728,-2359.453837,0,0,0,0,3,2,1
13240,359.2816901,0.993560373,-1.587865052,-0.725498699,-58.40794206,-1222.808853,2,0,0,0,4,5,1
13340,733.8509324,0.483064464,1.841591464,-0.207755769,137.2671857,-238.7478243,1,3,0,0,14,2,1
13780,221.9525235,0.268155479,4.565874858,-0.573580509,149.2519838,-64.45054185,5,2,2,1,13,6,1
14350,1579.865085,0.231583447,-6.205669814,-0.255483667,-120.554696,-896.5785069,0,0,0,0,0,0,1
14590,552.4535458,0.478259147,1.538252064,0.020946929,121.3942266,-251.4293806,8,0,2,3,7,2,1
15170,96.03824054,0.538654384,-3.247092879,-0.654384438,-121.0406431,-382.7010271,1,2,5,0,3,6,1
15390,315.831758,0.154350036,0.965149648,0.217596811,30.33209189,-59.64270806,0,0,0,4,14,2,1
16040,164.4334608,1.4158094,-3.028620918,0.108549317,-287.2140565,-353.6203018,1,1,0,0,9,2,1
16160,319.846102,0.451109466,1.306142913,-0.067759792,104.0322898,-133.4188348,2,0,3,0,1,2,1
17010,307.8626282,0.373933143,1.68548561,-0.322146625,100.4192074,-323.2128841,4,3,2,0,6,0,1
17050,460.1853044,0.181136964,5.565534202,-0.017528845,118.9260929,-148.7889865,4,7,3,0,14,6,1
17160,107.0663657,0.797263896,0.945823528,-0.650273746,155.1334846,-372.8791624,0,3,0,0,4,0,1
17170,307.4569986,0.341305828,6.160906468,-0.061042968,244.4059108,-25.03881807,5,0,0,0,2,4,1
18410,312.7939759,0.908394843,0.543288565,-0.136867995,140.1915373,-201.903819,0,0,9,0,1,2,1
18890,70.01079237,0.573289631,0.258174591,0.349560985,72.12984463,-25.94128893,1,1,0,0,14,2,1
19120,156.7974124,0.493351285,1.022513268,0.54130981,99.78095206,-294.2190067,1,0,0,0,4,0,1
19260,471.5816355,0.221820233,0.227451706,1.021016677,27.22736234,-7.61797878,1,2,0,0,4,0,1
19300,5008.785809,0.808979728,1.327918802,0.006538876,188.3239119,-273.5171133,4,0,0,0,1,0,1
20070,374.0877285,0.216696763,0.143860871,1.134314189,24.78709485,232.38454,3,2,5,0,7,0,1
22520,2891.416905,3.483193278,1.984946536,0.260141295,1039.714571,103.2585332,0,0,0,0,1,0,1
24870,153.5078211,1.209332457,4.061035598,-0.117049285,612.0474615,-34.12908858,4,0,3,0,4,2,1
