품번,재고수량,날짜
MD000045,-4.0,2026-05-14
MD000097,811.0,2026-05-14
MD000115,1130.0,2026-05-14
MD000184,166.0,2026-05-14
MD000185 ,671.0,2026-05-14
MD000187,585.0,2026-05-14
MD000188,654.0,2026-05-14
MD000190 ,1359.0,2026-05-14
MD001146,624.0,2026-05-14
MD001147,1734.0,2026-05-14
MD001155,169.0,2026-05-14
MD000266,38.0,2026-05-14
MD000326,1295.0,2026-05-14
MD000333,428.0,2026-05-14
MD000344,315.0,2026-05-14
MD000345,784.0,2026-05-14
,0.0,2026-05-14
,0.0,2026-05-14
MD000060,161.0,2026-05-14
MD000061,137.0,2026-05-14
MD000062,1228.0,2026-05-14
MD000011,1449.0,2026-05-14
MD000025,920.0,2026-05-14
MD000262,43.0,2026-05-14
MD000314,221.0,2026-05-14
MD000315,1345.0,2026-05-14
MD000318,219.0,2026-05-14
MD000339,546.0,2026-05-14
MD000348,266.0,2026-05-14
MD000427,125.0,2026-05-14
MD000525,276.0,2026-05-14
MD000526,284.0,2026-05-14
MD000763,735.0,2026-05-14
MD000820,135.0,2026-05-14
MD000823,1089.0,2026-05-14
MD000854,131.0,2026-05-14
MD000999,9.0,2026-05-14
MD001003,134.0,2026-05-14
MD001004,161.0,2026-05-14
MD001005,21.0,2026-05-14
MD001007,8.0,2026-05-14
SA000795,1850.0,2026-05-14
,0.0,2026-05-14
,0.0,2026-05-14
MD000195,508.0,2026-05-14
MD000196,575.0,2026-05-14
MD000197,452.0,2026-05-14
MD000267,273.0,2026-05-14
MD000268,115.0,2026-05-14
MD000269,155.0,2026-05-14
MD000284,118.0,2026-05-14
MD000285,91.0,2026-05-14
MD000292,100.0,2026-05-14
MD000337,70.0,2026-05-14
MD000338,204.0,2026-05-14
MD000379,210.0,2026-05-14
MD000667,200.0,2026-05-14
MD000720,51.0,2026-05-14
MD000906,17.0,2026-05-14
MD000912,16.0,2026-05-14
MD000964,50.0,2026-05-14
MD001105,54.0,2026-05-14
MD001174,52.0,2026-05-14
MD001319,34.0,2026-05-14
MD001315,19.0,2026-05-14
803A030,87.0,2026-05-14
,0.0,2026-05-14
MC000001,23.0,2026-05-14
MC000004,25.0,2026-05-14
MC000005,26.0,2026-05-14
MC000006,55.0,2026-05-14
MC000013,92.0,2026-05-14
MC000014,24.0,2026-05-14
MC000573,26.0,2026-05-14
MC000574,5.0,2026-05-14
MC000748,40.0,2026-05-14
MC000798,8.0,2026-05-14
MC000819,57.0,2026-05-14
