Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500049294,10,DO202605040050,1,,MD000113,RING_LABYRINTH_ID50.00*OD70.00*L11.2_12L14_NONE,QM665200,장OO,5,5,
,2,4500049294,20,DO202605040050,2,,MD000333,RETAINER_BEARING_6308_S45C_NONE,QM665200,장OO,165,5,
,3,4500049294,270,DO202605040050,3,,MD000045,ADAPTOR_GEAR*FORCED DRIVE_DD_S45C_NONE,QM665200,장OO,13,10,
,4,4500049294,280,DO202605040050,4,,MD000060,BLOCK_TUBE SUPPORT LOWER_3/8_A6061_NONE,QM665200,장OO,20,10,
,5,4500049294,290,DO202605040050,5,,MD000061,BLOCK_TUBE SUPPORT UPPER_3/8_A6061_NONE,QM665200,장OO,15,10,
,6,4500049294,300,DO202605040050,6,,MD000112,SLINGER_ID40.02*OD49.6*L15.260_12L14_NONE,QM665200,장OO,5,5,
,7,4500049294,310,DO202605040050,7,,MD000185,SLINGER_ID50.0*OD77.4*L30.9_SUM24L_NONE,QM665200,장OO,10,10,
,8,4500049294,320,DO202605040050,8,,MD000266,LOCK NUT_FORCED DRIVE_M45X1.5P_S45C_NONE,QM665200,장OO,9,9,
,9,4500049294,330,DO202605040050,9,,MD000315,OIL RING_6207_S45C_NONE,QM665200,장OO,10,10,
,10,4500049294,340,DO202605040050,10,,MD000337,SPACER_SPLASH DISK_MK1400/MK2000_S45C_NONE,QM665200,장OO,5,5,
,11,4500049294,350,DO202605040050,11,,MD000427,COVER_GEROTOR_DD_STEEL_NONE,QM665200,장OO,15,10,
,12,4500049294,360,DO202605040050,12,,MD000526,OIL GUIDE_TONGUE SHIM*DRIVE_SS400_NONE,QM665200,장OO,5,5,
,13,4500049089,20,DO202605040050,13,,MD001155,SLINGER_ID30.0*OD56.4*L10.1_S45C_NONE,QM665200,장OO,40,10,
,14,4500049089,200,DO202605040050,14,,MD000045,ADAPTOR_GEAR*FORCED DRIVE_DD_S45C_NONE,QM665200,장OO,16,10,
,15,4500049089,210,DO202605040050,15,,MD000099,SLINGER_ID30.0*OD56.4*L10.1_12L14_NONE,QM665200,장OO,10,10,
,16,4500049089,220,DO202605040050,16,,MD000099,SLINGER_ID30.0*OD56.4*L10.1_12L14_NONE,QM665200,장OO,65,10,
,17,4500049089,230,DO202605040050,17,,MD000115,RETAINER_BEARING_5208_S45C_NONE,QM665200,장OO,100,10,
,18,4500049089,240,DO202605040050,18,,MD000184,SLINGER_ID50.0*OD77.4*L21.35_SUM24L_NONE,QM665200,장OO,20,10,
,19,4500049089,250,DO202605040050,19,,MD000187,HOLDER_PISTON RING_SUM24L_NONE,QM665200,장OO,20,10,
,20,4500049089,260,DO202605040050,20,,MD000188,HOLDER_PISTON RING_SUM24L_NONE,QM665200,장OO,15,10,
,21,4500049089,270,DO202605040050,21,,MD000190,SLINGER_ID40.02*OD49.6*L15.240_12L14_NONE,QM665200,장OO,60,10,
,22,4500049089,280,DO202605040050,22,,MD000262,RETAINER_BEARING_5211_S45C_NONE,QM665200,장OO,5,2,
,23,4500049089,290,DO202605040050,23,,MD000344,RETAINER_BEARING_6211_S45C_NONE,QM665200,장OO,40,5,
,24,4500049089,300,DO202605040050,24,,MD000345,OIL RING_6211_S45C_NONE,QM665200,장OO,20,10,
,25,4500049089,310,DO202605040050,25,,MD000525,OIL GUIDE_TONGUE SHIM*NON DRIVE_SS400_NONE,QM665200,장OO,10,10,
,26,4500049089,320,DO202605040050,26,,MD000526,OIL GUIDE_TONGUE SHIM*DRIVE_SS400_NONE,QM665200,장OO,10,10,
,27,4500049089,330,DO202605040050,27,,MD001105,SLINGER_ID40.0*D74.0*L22.0_사각 GROOVE_HD2000EM_S45C_NONE,,장OO,25,10,
,28,4500049089,340,DO202605040050,28,,MD001146,RING_LABYRINTH_ID50.00*OD70.00*L11.2_S45C_NONE,QM665200,장OO,40,10,
,29,4500049089,350,DO202605040050,29,,MD001319,SPACER_IPEL_SPLASH DISK_HD200_A6061_NONE,QM665200,장OO,20,20,
