부품 재고현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2026-05-14,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
납품 빈도 : A,,,,,,,,,,,,
순번,신품번,구품번,품명,재고수량,공정 진행중,입고 수량,,,,,,
1,MD000045,7826065,ADAPTOR_GEAR*FORCED DRIVE_DD_S45C_NONE,-4.0,200,,,,,,,
2,MD000097,7860032,"Cover, HD NDEC Filter, 109x127x5t, S45C",811.0,,,,,,,,
3,MD000115,7861019,"Retainer, HD DE Bearing, S45C",1130.0,,,,,,,,
4,MD000184,7866120,"Slinger, HD550 Rev1 Motor Side",166.0,500,,,,,,,
5,MD000185 ,7866121,"Slinger, HD550 Rev1 Gear Side",671.0,,,,,,,,
6,MD000187,7866123,"Holder, HD550 Rev1 Piston Ring Motor Side",585.0,,,,,,,,
7,MD000188,7866124,"Holder, HD550 Rev1 Piston Ring Gear Side",654.0,117,,,,,,,
8,MD000190 ,7866141,"Slinger, HD DE, 15.240±0.005",1359.0,,,,,,,,
9,MD001146,MD000113,RING_LABYRINTH_ID50.00*OD70.00*L11.2_S45C_NONE,624.0,420,,,,,,, 
10,MD001147,MD000112,SLINGER_ID40.02*OD49.6*L15.260_S45C_NONE,1734.0,,,,,,,,
11,MD001155,MD000099,SLINGER_ID30.0*OD56.4*L10.1_S45C_NONE,169.0,615,,,,,,,
12,MD000266,7896032,LOCK NUT_FORCED DRIVE_M45X1.5P,38.0,,,,,,,,
13,MD000326,8016014,"Oil Ring, MK700 Rev.2, S45C",1295.0,,,,,,,,
14,MD000333,8022012,BEARING STOPPER,428.0,372,,,,,,,
15,MD000344,8036005,"Retainer, MK3000 Bearing",315.0,300,,,,,,,
16,MD000345,8036006,"OIL RING, Pusher, MK3000",784.0,,,,,,,,
,,,,0.0,,,,,,,,
납품 빈도 : B,,,,0.0,,,,,,,,
18,MD000060,7837056,BLOCK_TUBE SUPPORT LOWER_3/8_A6061_NONE,161.0,,,,,,,,
19,MD000061,7837057,BLOCK_TUBE SUPPORT UPPER_3/8_A6061_NONE,137.0,,,,,,,,
20,MD000062,7837061,"Orifice, Tube Type, D0.3 Tube 1/4",1228.0,,,,,,,,
21,MD000011,7810029,"Plate Water Jacket Rotor Housing, DD255",1449.0,,,,,,,,
22,MD000025,7826005,"Plate Water Jacket Rotor Housing, SUS304, DD105",920.0,,,,,,,,
23,MD000262,7896024,"Retainer, RD700 NDE Bearing",43.0,,,,,,,,
24,MD000314,8012012,BEARING STOPPER,221.0,500,,,,,,,
25,MD000315,8012013,"OIL RING, PUSHER",1345.0,,,,,,,,
26,MD000318,8012016,PUSHER-SPLASHER,219.0,,,,,,,,
27,MD000339,8026007,"Spacer, MK1400 Motor Rotator",546.0,,,,,,,,
28,MD000348,8036009,"Pusher, MK3000 Splasher",266.0,,,,,,,,
29,MD000427,70600147,COVER-GEROTOR,125.0,,,,,,,,
30,MD000525,8033001,"Tongue Shim-L, MK3000",276.0,,,,,,,,
31,MD000526,8033002,"Tongue Shim-R, MK3000",284.0,,,,,,,,
32,MD000763,,ORIFICE_PLATE*TUBE 1/4_D0.8_SUS304_NONE,735.0,,,,,,,,
33,MD000820,MD000820,HOLDER_PISTON RING_ID35.0*OD44.6*L16.16_12L14_NONE,135.0,,,,,,,,
34,MD000823,MD000823,RETAINER_BEARING_MK1400 REV-3_6207_S45C_NONE,1089.0,,,,,,,,
35,MD000854,8156010,OIL RING_6214_S45C_NONE,131.0,,,,,,,,
36,MD000999,20013220,DUCT_OIL SPLASH GEAR SIDE_WS1001_A6061_NONE,9.0,41,,,,,,,
37,MD001003,20013340,DUCT_OIL SPLASH MOTOR SIDE_WS1001_A6061_NONE,134.0,15,,,,,,,
38,MD001004,20013375,DUCT_OIL SPLASH MOTOR SIDE_WS501_A6061_NONE,161.0,,,,,,,,
39,MD001005,,DUCT_OIL SPLASH GEAR SIDE_WS501_A6061_NONE,21.0,,,,,,,,
40,MD001007,,DUCT_OIL SPLASH MOTOR SIDE_WS2001_A6061_NONE,8.0,50,,,,,,,
41,SA000795,,GEROTOR_SMF5030_비전분말야금,1850.0,,,,,,,,
,,,,0.0,,,,,,,,
납품 빈도 : C,,,,0.0,,,,,,,,
44,MD000195,7866147,"Slinger, HD300 DE Rotor, 20.280mm, 12L14",508.0,,,,,,,,
