time,device,temp,pressure,vibration
2026-03-19 09:00:00,ETCH-01,450.06,1.017,0.185
2026-03-19 09:01:00,ETCH-01,464.34,0.953,0.131
2026-03-19 09:02:00,ETCH-01,441.66,1.011,0.121
2026-03-19 09:03:00,ETCH-01,455.29,0.949,0.164
2026-03-19 09:04:00,ETCH-01,449.14,1.055,0.229
2026-03-19 09:05:00,ETCH-01,453.86,1.053,0.495
2026-03-19 09:06:00,ETCH-01,452.21,1.027,0.247
2026-03-19 09:07:00,ETCH-01,446.33,1.018,0.318
2026-03-19 09:08:00,ETCH-01,451.14,1.088,0.34
2026-03-19 09:09:00,ETCH-01,440.71,1.0,0.313
2026-03-19 09:10:00,ETCH-01,453.02,0.941,0.292
2026-03-19 09:11:00,ETCH-01,451.49,1.022,0.18
2026-03-19 09:12:00,ETCH-01,453.19,1.104,0.445
2026-03-19 09:13:00,ETCH-01,455.29,0.949,0.481
2026-03-19 09:14:00,ETCH-01,451.84,0.982,0.132
2026-03-19 09:15:00,ETCH-01,450.74,1.021,0.198
2026-03-19 09:16:00,ETCH-01,445.59,0.997,0.272
2026-03-19 09:17:00,ETCH-01,446.44,0.951,0.204
2026-03-19 09:18:00,ETCH-01,455.93,1.056,0.351
2026-03-19 09:19:00,ETCH-01,457.18,1.116,0.227
2026-03-19 09:20:00,ETCH-01,448.81,1.01,0.517
2026-03-19 09:21:00,ETCH-01,450.23,0.955,0.419
2026-03-19 09:22:00,ETCH-01,445.48,0.923,0.321
2026-03-19 09:23:00,ETCH-01,455.86,1.013,0.403
2026-03-19 09:24:00,ETCH-01,453.33,1.055,0.411
2026-03-19 09:25:00,ETCH-01,459.71,1.024,0.244
2026-03-19 09:26:00,ETCH-01,445.61,1.0,0.218
2026-03-19 09:27:00,ETCH-01,448.11,0.971,0.308
2026-03-19 09:28:00,ETCH-01,451.16,0.945,0.386
2026-03-19 09:29:00,ETCH-01,453.23,1.042,0.314
2026-03-19 09:30:00,ETCH-01,448.92,1.046,0.142
2026-03-19 09:31:00,ETCH-01,445.64,0.923,0.22
2026-03-19 09:32:00,ETCH-01,454.41,1.079,0.293
2026-03-19 09:33:00,ETCH-01,453.61,1.029,0.292
2026-03-19 09:34:00,ETCH-01,445.42,1.07,0.497
2026-03-19 09:35:00,ETCH-01,456.78,0.933,0.161
2026-03-19 09:36:00,ETCH-01,455.85,0.932,0.351
2026-03-19 09:37:00,ETCH-01,450.67,0.993,0.449
2026-03-19 09:38:00,ETCH-01,450.4,1.025,0.527
2026-03-19 09:39:00,ETCH-01,452.77,1.09,0.26
2026-03-19 09:40:00,ETCH-01,445.69,1.035,0.349
2026-03-19 09:41:00,ETCH-01,450.15,0.988,0.357
2026-03-19 09:42:00,ETCH-01,439.24,0.949,0.32
2026-03-19 09:43:00,ETCH-01,454.38,1.062,0.29
2026-03-19 09:44:00,ETCH-01,442.19,0.952,0.344
2026-03-19 09:45:00,ETCH-01,457.52,1.081,0.047
2026-03-19 09:46:00,ETCH-01,448.35,0.986,0.368
2026-03-19 09:47:00,ETCH-01,448.94,1.08,0.313
2026-03-19 09:48:00,ETCH-01,446.86,1.034,0.278
2026-03-19 09:49:00,ETCH-01,448.56,0.993,0.505
2026-03-19 09:50:00,ETCH-01,457.09,0.974,0.233
2026-03-19 09:51:00,ETCH-01,437.56,0.983,0.26
2026-03-19 09:52:00,ETCH-01,456.38,1.021,0.499
2026-03-19 09:53:00,ETCH-01,451.69,1.004,0.217
2026-03-19 09:54:00,ETCH-01,443.96,0.97,0.245
2026-03-19 09:55:00,ETCH-01,444.62,0.992,0.285
2026-03-19 09:56:00,ETCH-01,458.38,1.004,0.384
2026-03-19 09:57:00,ETCH-01,445.27,0.894,0.321
2026-03-19 09:58:00,ETCH-01,444.23,1.023,0.171
2026-03-19 09:59:00,ETCH-01,455.69,0.951,0.247
