time,device,temp,pressure,vibration
2026-04-02 09:00:00,ETCH-01,453.3,0.984,0.226
2026-04-02 09:01:00,ETCH-01,458.83,0.911,0.386
2026-04-02 09:02:00,ETCH-01,455.19,0.953,0.315
2026-04-02 09:03:00,ETCH-01,450.47,1.024,0.33
2026-04-02 09:04:00,ETCH-01,447.45,1.086,0.222
2026-04-02 09:05:00,ETCH-01,437.23,0.995,0.371
2026-04-02 09:06:00,ETCH-01,449.16,1.016,0.508
2026-04-02 09:07:00,ETCH-01,448.37,1.048,0.199
2026-04-02 09:08:00,ETCH-01,451.95,0.959,0.266
2026-04-02 09:09:00,ETCH-01,449.23,1.018,0.323
