student_id,midterm_score,final_score,attendance_days
STU_0001,999.0,86.2,20
STU_0002,999.0,82.4,20
STU_0003,999.0,75.5,17
STU_0004,999.0,69.8,17
STU_0005,999.0,80.6,17
STU_0006,999.0,78.1,20
STU_0007,999.0,82.2,18
STU_0008,999.0,80.1,19
STU_0009,65.3,83.4,19
STU_0010,75.4,70.7,16
STU_0011,65.4,85.5,19
STU_0012,65.3,,19
STU_0013,72.4,91.6,17
STU_0014,50.9,69.5,17
STU_0015,52.8,88.9,20
STU_0016,64.4,76.6,16
STU_0017,59.9,69.8,15
STU_0018,73.1,71.1,16
STU_0019,60.9,72.4,16
STU_0020,55.9,78.4,18
STU_0021,84.7,79.2,20
STU_0022,67.7,70.4,18
STU_0023,70.7,74.8,16
STU_0024,55.8,92.1,16
STU_0025,64.6,88.8,16
STU_0026,71.1,78.5,19
STU_0027,58.5,75.3,18
STU_0028,73.8,76.0,16
STU_0029,64.0,79.9,17
STU_0030,67.1,66.8,20
STU_0031,64.0,72.9,20
STU_0032,88.5,61.7,17
STU_0033,69.9,,20
STU_0034,59.4,80.2,19
STU_0035,78.2,71.1,19
STU_0036,57.8,87.6,15
STU_0037,72.1,65.2,15
STU_0038,50.4,63.3,15
STU_0039,56.7,76.8,20
STU_0040,72.0,83.4,19
STU_0041,77.4,,19
STU_0042,71.7,71.3,19
STU_0043,68.8,83.6,17
STU_0044,67.0,74.7,19
STU_0045,55.2,73.6,17
STU_0046,62.8,82.1,15
STU_0047,65.4,80.2,15
STU_0048,80.6,62.4,20
STU_0049,73.4,86.8,15
STU_0050,52.4,86.0,20
STU_0051,73.2,70.0,16
STU_0052,66.1,78.2,16
STU_0053,63.2,79.0,18
STU_0054,76.1,77.1,20
STU_0055,80.3,70.6,18
STU_0056,79.3,69.6,18
STU_0057,61.6,74.8,16
STU_0058,66.9,84.4,20
STU_0059,73.3,79.3,16
STU_0060,79.8,72.0,18
STU_0061,65.2,81.2,20
STU_0062,68.1,52.2,18
STU_0063,58.9,84.2,19
STU_0064,58.0,61.1,20
STU_0065,78.1,72.1,20
STU_0066,83.6,66.0,18
STU_0067,69.3,64.6,19
STU_0068,80.0,84.3,17
STU_0069,73.6,71.3,16
STU_0070,63.5,77.8,18
STU_0071,73.6,74.6,20
STU_0072,85.4,78.8,16
STU_0073,69.6,75.6,16
STU_0074,85.6,64.7,16
STU_0075,43.8,83.0,17
STU_0076,78.2,71.0,15
STU_0077,70.9,62.5,18
STU_0078,67.0,71.6,15
STU_0079,70.9,87.0,15
STU_0080,50.1,,15
STU_0081,67.8,72.2,16
STU_0082,73.6,72.2,19
STU_0083,84.8,72.4,16
STU_0084,64.8,91.6,16
STU_0085,61.9,,20
STU_0086,65.0,78.4,20
STU_0087,79.2,83.2,15
STU_0088,73.3,76.9,16
STU_0089,64.7,72.9,15
STU_0090,75.1,73.4,20
STU_0091,71.0,74.4,19
STU_0092,79.7,74.7,18
STU_0093,63.0,80.8,15
STU_0094,66.7,75.4,19
STU_0095,66.1,80.9,18
STU_0096,55.4,74.4,17
STU_0097,73.0,75.6,15
STU_0098,72.6,59.0,15
STU_0099,70.1,82.3,17
STU_0100,67.7,77.8,17
STU_0101,55.8,83.0,15
STU_0102,65.8,51.8,17
STU_0103,66.6,91.7,16
STU_0104,62.0,73.9,18
STU_0105,68.4,83.9,18
STU_0106,74.0,66.7,18
STU_0107,88.9,79.9,16
STU_0108,71.7,66.6,17
STU_0109,72.6,70.0,19
STU_0110,69.3,90.3,17
STU_0111,50.8,73.5,15
STU_0112,69.7,76.7,20
STU_0113,70.6,82.0,18
STU_0114,94.6,79.0,17
STU_0115,68.1,76.2,19
STU_0116,73.0,77.9,15
STU_0117,69.7,94.2,16
STU_0118,58.3,74.5,16
STU_0119,81.4,76.6,19
STU_0120,77.5,83.4,15
STU_0121,77.9,83.8,18
STU_0122,60.9,84.5,17
STU_0123,84.0,80.1,15
STU_0124,56.0,65.9,16
STU_0125,75.9,88.1,19
STU_0126,91.9,,19
STU_0127,60.1,77.4,17
STU_0128,64.3,69.0,19
STU_0129,71.0,74.5,19
STU_0130,65.0,77.6,15
STU_0131,54.5,77.6,18
STU_0132,70.7,78.4,17
STU_0133,59.4,87.9,15
STU_0134,74.7,78.6,18
STU_0135,60.8,73.0,15
STU_0136,85.5,82.7,20
STU_0137,62.2,84.5,15
STU_0138,66.8,65.2,19
STU_0139,78.1,79.8,18
STU_0140,57.7,80.6,17
STU_0141,72.3,72.6,17
STU_0142,83.1,86.0,18
STU_0143,53.9,73.8,19
STU_0144,71.8,76.0,16
STU_0145,72.6,73.6,15
STU_0146,77.8,75.1,19
STU_0147,57.6,66.2,20
STU_0148,56.8,63.5,18
STU_0149,75.2,87.8,15
STU_0150,73.0,68.2,17
STU_0151,72.5,67.1,16
STU_0152,73.5,57.8,20
STU_0153,63.2,,17
STU_0154,72.3,64.4,18
STU_0155,72.9,88.1,15
STU_0156,62.9,83.1,18
STU_0157,88.7,69.5,15
STU_0158,74.7,93.0,19
STU_0159,58.1,,16
STU_0160,76.6,72.4,19
STU_0161,60.3,55.0,19
STU_0162,77.9,93.3,18
STU_0163,81.6,63.9,16
STU_0164,61.8,61.8,15
STU_0165,79.6,,15
STU_0166,74.1,94.5,20
STU_0167,78.2,86.1,17
STU_0168,89.0,79.5,20
STU_0169,67.5,79.8,20
STU_0170,62.5,81.8,15
STU_0171,61.1,81.1,18
STU_0172,61.8,,19
STU_0173,69.2,75.8,19
STU_0174,73.4,74.5,19
STU_0175,72.8,69.0,16
STU_0176,78.3,72.8,15
STU_0177,70.1,61.5,18
STU_0178,84.5,74.2,16
STU_0179,67.4,67.1,17
STU_0180,97.2,66.2,18
STU_0181,76.3,76.4,20
STU_0182,61.4,86.1,18
STU_0183,59.3,82.3,18
STU_0184,74.8,62.4,19
STU_0185,67.8,67.1,18
STU_0186,77.1,82.5,20
STU_0187,74.7,67.1,20
STU_0188,69.3,73.2,15
STU_0189,61.5,79.4,18
STU_0190,54.9,67.3,19
STU_0191,65.5,75.8,18
STU_0192,78.6,64.3,17
STU_0193,72.1,70.2,17
STU_0194,57.5,77.6,19
STU_0195,71.7,62.3,15
STU_0196,73.9,78.5,15
STU_0197,61.2,,20
STU_0198,71.5,,20
STU_0199,70.6,76.8,16
STU_0200,58.6,85.9,19
STU_0201,73.6,76.0,18
STU_0202,75.6,71.6,19
STU_0203,80.8,,16
STU_0204,80.5,79.3,20
STU_0205,56.2,75.4,19
STU_0206,60.6,75.3,19
STU_0207,75.2,69.4,20
STU_0208,75.1,69.7,16
STU_0209,75.2,,20
STU_0210,108.5,89.0,15
STU_0211,75.7,65.0,18
STU_0212,81.4,69.5,20
STU_0213,79.5,69.3,16
STU_0214,76.5,82.2,17
STU_0215,66.8,72.6,15
STU_0216,77.6,85.0,17
STU_0217,62.3,69.6,20
STU_0218,67.6,77.2,15
STU_0219,65.1,68.3,18
STU_0220,70.8,92.2,20
STU_0221,93.1,65.5,18
STU_0222,51.3,77.5,19
STU_0223,76.9,80.1,17
STU_0224,53.9,78.3,15
STU_0225,65.3,73.5,18
STU_0226,80.9,74.0,16
STU_0227,70.6,75.4,18
STU_0228,59.2,73.8,16
STU_0229,62.8,82.7,20
STU_0230,76.8,92.7,15
STU_0231,62.7,70.5,18
STU_0232,72.2,64.0,18
STU_0233,70.5,74.3,15
STU_0234,63.5,95.6,18
STU_0235,91.4,68.6,16
STU_0236,76.3,88.1,18
STU_0237,49.7,88.4,17
STU_0238,71.9,70.6,20
STU_0239,63.4,79.6,19
STU_0240,78.5,,16
STU_0241,62.1,72.0,17
STU_0242,68.9,73.4,20
STU_0243,75.0,70.3,15
STU_0244,78.7,66.9,16
STU_0245,58.0,69.8,19
STU_0246,66.7,65.2,20
STU_0247,65.3,75.3,19
STU_0248,63.5,,15
STU_0249,87.7,76.9,15
STU_0250,74.0,62.6,16
STU_0251,57.4,77.6,18
STU_0252,79.2,81.7,15
STU_0253,91.2,59.1,20
STU_0254,80.3,78.0,18
STU_0255,54.8,84.8,17
STU_0256,65.2,65.3,19
STU_0257,82.7,88.4,18
STU_0258,62.9,78.4,19
STU_0259,74.4,69.4,18
STU_0260,77.7,74.6,17
STU_0261,60.7,79.5,15
STU_0262,69.4,75.6,17
STU_0263,37.6,79.3,15
STU_0264,59.8,67.6,15
STU_0265,67.5,76.4,19
STU_0266,57.5,63.7,20
STU_0267,86.3,74.1,17
STU_0268,55.7,67.8,18
STU_0269,65.6,69.1,17
STU_0270,71.3,84.9,19
STU_0271,84.4,83.7,15
STU_0272,55.6,79.9,19
STU_0273,81.6,66.3,16
STU_0274,70.1,72.5,16
STU_0275,60.2,84.7,18
STU_0276,74.6,76.1,19
STU_0277,72.0,93.6,18
STU_0278,64.0,78.1,18
STU_0279,70.7,76.5,16
STU_0280,66.1,72.5,18
STU_0281,71.1,76.1,16
STU_0282,76.6,73.8,15
STU_0283,85.9,80.7,19
STU_0284,57.6,82.7,18
STU_0285,91.3,68.7,16
STU_0286,50.5,64.4,17
STU_0287,68.5,60.3,18
STU_0288,75.9,79.1,20
STU_0289,72.8,66.2,15
STU_0290,63.8,57.8,15
STU_0291,67.9,78.1,17
STU_0292,65.1,94.9,16
STU_0293,64.1,75.0,18
STU_0294,78.5,81.7,16
STU_0295,73.6,75.7,15
STU_0296,63.1,74.2,16
STU_0297,79.0,82.4,15
STU_0298,73.1,72.7,16
STU_0299,78.1,77.1,17
STU_0300,76.3,77.6,19
STU_0301,61.7,69.7,17
STU_0302,64.4,82.9,17
STU_0303,77.5,73.6,19
STU_0304,76.1,69.0,19
STU_0305,69.8,79.3,18
STU_0306,71.2,67.8,18
STU_0307,82.8,,17
STU_0308,64.1,74.9,17
STU_0309,75.5,83.7,15
STU_0310,68.0,78.8,15
STU_0311,67.8,74.8,18
STU_0312,81.0,81.5,20
STU_0313,78.3,86.1,20
STU_0314,78.1,79.5,18
STU_0315,83.1,75.1,15
STU_0316,70.2,64.5,15
STU_0317,76.8,66.5,20
STU_0318,66.9,72.6,16
STU_0319,73.2,70.1,16
STU_0320,68.7,,15
STU_0321,71.0,75.5,16
STU_0322,76.0,,19
STU_0323,61.8,74.4,18
STU_0324,90.9,78.9,18
STU_0325,59.9,75.5,15
